text
60,Brown Boveri-Krupp Reaktorbau GmbH,회사명 (독일),BBK
61,Babcock-Brown Boveri Reaktorbau GmbH,회사명 (독일),BBR
62,Brookhaven Beam Research Reactor,브룩해븐 빔연구소,BBRR
63,Bundesverband der Burgerinitiativen Umweltschutz,시민환경보호중앙협의회 (독일),BBU
64,breakdown pulse noise,파괴펄스잡음,BPN
65,Battelle-Pacific Northwest Laboratory,바텔-패시픽 노스웨스트연구소 (미국),BPNW
66,Badan Pengkajian Dan Penerapan Technologi,과학기술평가응용청 (인도네시아),BPPT
67,Board of Public Utilities,국영전력업체위원회 (미국),BPU
68,boiler and pressure vessel,보일러 및 압력용기,B&PV
69,Boiler and Pressure Vessel Committee,"보일러 및 압력용기위원회 (ASEM, 미국)",BPVC
70,burning plasma experiment,연소플라즈마시험,BPX
71,away-form-reactor,[사용후핵연료의] 원자로수지외 [잠정]저장,AFR
72,"African Regional Cooperative Agreement for Research, Development and Training Related to Nuclear Science and Technology",원자력과학기술의 연구 · 개발과 훈련을 위한 아프리가지역협력협정(IAEA),AFRA
73,Armed Forces Radiobiology Research Institute,미육군 방사성물리연구소,AFRRI
74,auxiliary feedwater system,보조급수계통,AFS
75,Argonne Fast Source Reactor,아르곤 고속중성자원 원자로(미국),AFSR
76,air filtration unit,공기여과장치,AFU
77,auxiliary feedwater,보조급수,AFW
78,American Public Power Association,미국공영전기사업자협회,APPA
79,Atomic Power Plant Bohunice,보후니체원자력발전소 (슬로바키아),APPBO
80,Atomic Power Plant Mochovce,모호프체원자력발전소 (슬로바키아),APPMO
81,army package power reactor,미국 패키지동력로,APPR
82,automatic pressure relief,자동압력방출/보호,APR
83,Advanced Power Reactor 1400,"1,400MW의 신형경수로 (전 KNGR,한국)",APR 1400
84,area power range monitor,지역전력범위 (출력범위) 모니터,APRM
85,Federal Office for Education and Science,연방 교육과학청 (스위스),BBW
86,breakeven condition,임계조건,BC
87,Bereau de Control de la Construction Nucleaire,원자력건설관리국 (프랑스),BCCN
88,burst cartridge detector,파손핵열료봉 검출장치,BCD
89,BWR core and fuel water loop,BWR로심 핵연료부 수류동루프,BCOW
90,bar code sorter,바 코드 분류기록 (광학판독용 줄무늬기호),BCS
91,beyond design basis accident,설계기준외 사고,BDBA
92,"radioactivity, activity",방사능,A
93,mass mumber,질량수(A=Z+N),A
94,angstrom,옹스트롬,A
95,atto-,아토(10-18의 접두어) 100京分의 1,a
96,original [decay] activity at time zero,영점시간 고유[붕괴]방사능,A0
97,Bohr radius,보어반경,a0
98,AB ASEA-Atom,회사명(스웨덴),AA
99,auxiliary feedwater system,보조급수계통,AFWS
100,advanced gas centrifuge,신형 가스원심력이【우라늄농축】,AGC
101,advanced Gas Cooled Reactor,개량형 가스냉각로,AGCR
102,Alied General Nuclear Services,농축회사명 (미국),AGNS
103,Advanced Gas-cooled graphite-moderated Reactor,개량형 가스냉각 흑연감속로 (영국),AGR
104,Advanced Gas-cooled Reactor Station,개량형 가스냉각 원자력발전소,AGRS
105,annulus gas system,애뉼러스가수통계,AGS
106,advanced process simulator,신형 시뮬레이터,APROS
107,advanced photon source,개량광자원,APS
108,Advance Passive Reactor,개량형 피동로,AP reactors
109,axial power shaping rods,축방향 출력조정봉,APSR
110,Advanced Pressure Tube Reactor,개량형 압력관원자로,APTR
111,auxiliary power unit,보조발전설비,APU
112,Advanced Pressurized Water Reactor,개량형 가압수형 원자로,APWR
113,bituminization demonstration facility,아스팔트 고화처리시설,BDF
114,blow down heat transfer,인출열전달,BDHT
115,harrel per day oil equivalent,일상 석유환산배럴,BDOE
116,blow down system,인출계통,BDS
117,blow down sampling system,인출시료 심취계통,BDSS
118,best estimate model,최적예측모델,BE
119,berylium,베릴륨 (원소기호),Be
120,American Association for the Advancement of Science,미국과학진흥협회,AAAS
121,American Association for Contamination Control,미국오염관리협회,AACC
122,American Association of Engineering Society,미국엔지니어링학회협회,AAES
123,American Association of Physicists in Medicine,미국의학물리학자협회,AAPM
124,Arogonne Advanced Research Reactor,아르곤 신형연구로 (미국),AARR
125,Association Argentina de Technologia Nuclear (Argentina Nuclear Technology Association),아르헨티나원자력기술협회,AATN
126,automatic blow-down system,자동인출계통,AB
127,American Geophysical Union,미국지구물리학회,AGU
128,Aqueous Homogeneous Reactor,수용액균질로 (수균질로),AHR
129,air handing unit,공기조절장치,AHU
130,artificial intelligence,인공지능,AI
131,Authorized Inspection Agency,공인검사기관,AIA
132,Accelerator Information Center,가속기정보센터 (미국),AIC
133,American Institute of Chemical Engineers,미국화학공학회,AIChE
134,accident resistance,사고방지,AR
135,Australian Reseach Council,호주연구위원회,ARC
136,Regional Co-operative Arrangements for Promotion of Nuclear Science and Technology in Latin America,원자력과학기술 진흥을 위한 중남미지역 협력협정 (IAEA),ARCAL
137,Accident Response Capability Coordinating Committee,사고반응력조정위원회 (핵무기사고에 대한),ARCCC
138,Romanian Nuclear Energy Association,루마니라 원자력협회 (=RENEL),AREN
139,advanced reactor economy estimation system,개량원자로 경제성허가쳬계,ARES
140,ASEAN Regional Forum,아세안지역 포럼 (1993sus에 설립),ARF
141,background equivalent activity,자연방사능 당량강도,BEA
142,Biological Effects of Atomic Radiation,방사선 생물학적영향위원회,BEAR
143,beginning of equilibrium cycle,평형주기개시,BEC
144,"Bureau d"" Etude de 1""Energie Nucleaire",원자력연구국 (프랑스),BEdEN
145,"Bureau d"" Etude de 1""Energie Nucleaire",원자력연구국 (벨기에),BEEN
146,back end of the fuel cycle,후행핵연료주기,BEFC
147,Committee on the Biological Effects of Ionizing Radiation,전이방사선 생물학적영향위원회 (미국),BEIR
148,Agencia Brasileiro-Argentina de Contabilidate e Controle de Materias Nucleares (=Argentine-Brazilian Nuclear Material Control Agency),아르헨티나-브라질 핵물질통제센터,ABACC
149,Asea Brown Boveri AG,회사명 (독일),ABB
150,ABB Combustion Engineering Nuclear Power,회사명 (미국),ABB-CE
151,ABB Combustion Engineering Nuclear Fuelsr,회사명 (미국),ABBCENF
152,ABB Combustion Engineering Nuclear Power,회사명 (미국),ABBCENP
153,Atomic Bomb Casualty Commission,"원폭상해조사위원회 (히로시마, 일본)",ABCC
154,Associacao Brasileira de Energia Nuclear(Brazilian Association for Nuclear Energy),브라질원자력협회,ABEN
155,Moroccan Association of Nuclear Engineers,모로코원자력기술자협회,AIGAM
156,auxiliary inerting gas subsystem,보조불활성가스 부계통,AIGS
157,auxiliary intermediate heat exchanger,보조중간열교환기,AIHX
158,Associazione Italiana Nucleare(Italian Nuclear Association),"이탈리아원자력협회(1999년 4월 ANDIN,FIEN,SNI를 흡수 통합함)",AIN
159,Australian Institute of Nuclear Science and Engineering,오스트레일리아원자력기술연구소,AINSE
160,American Institute of Physics,미국물리학회,AIP
161,Agency of Industrial Science and Technology,공업기술원 (일본),AIST
162,Accident Response Group,사고반응집위[핵무기사고에 대한],ARG
163,all rod in,전제어봉투입,ARI
164,actual routine inspection effort,실제통상조제업무량,ARIE
165,advanced reactor innovations evaluation studies,개량청 개발평가연구,ARIES
166,area radiation monitor,구역방사선감시기,ARM
167,area radiation monitoring system,지역방사선감시계통(특정지역의 방사선량 측정),ARMS
168,Nuclear Regulatory Authority,원자력규제공사 (아르헨티나),ARN
169,Belarus Nuclear Society,벨로루시원자력학회,BeINS
170,Belgonuclearie + Tractebell,회사명 (벨기에),Belgatom
171,BNFL Engineering Ltd.,회사명 (영국),BEL
172,biological effects of low level exposure,저선량피폭에 의한 생물학적 영향,BELLE
173,Bioelectromagnetics Society,생체전자기학회 (미국),BEMS
174,"Bureau d"" Etudes Nucleaires",원자력연구소 (벨기에),BEN
175,Bartlesville Energy Research Center,배틀스빌에너지연구센터 (미국),BERC
176,auxiliary building filter system,보조건물 여과계통,ABFS
177,Atomic Bomb,원자폭탄,A-bomb
178,American Board of Health Physics,미국보건물리위원회,ABHP
179,Anti-Balistic Missile,요격용 탄도미사일,ABM
180,Advanced Boiling Water Reactor,개량형 비등수형 원자로,ABWR
181,air conditioning,공기조화 (공조),A/C
182,alternating current,교통,AC
183,augmented inspection team,"논증검사팀 (NRC, 미국)",AIT
184,accidental loss,사고에 의한 손실,AL
185,aluminium,알루미늄(원소기호),AL
186,as low as practicable,"최소가능피폭, 실행가능한한 낮게",ALAP
187,as low as reasonably achievable,"합리적, 달성가능 피폭, 합리적으로 달성가능한한 낮게",ALARA
188,as low as reasonably practical,합리적 달성가능한한 낮게,ALARP
189,area local control panel,지역별 국소제어반,ALCP
190,alarm response procedure,경보반응절차,ARP
191,analog rod position indication,아날로그형제어봉 단위지시(계),ARPI
192,Atomic Reactors Research Institute,원자로연구소 (러시아),ARRI
193,at reactor storage,원자로부지내저장[사용후 핵연료의),ARS
194,advanced robotic test,개량로봇시험,ART
195,Advanced Robot Technology Research Association,개량로봇기술조사회,ARTRA
196,auxiliary steam system,보조증기계통,AS
197,billion electron volt,10억전자볼트. 109 eV (BeV=GeV),BeV
198,Federal Office of Energy,연방 에너지청 (스위스),BEW
199,boiler feed pump turbine,보일러급수 구동용펌프,BFPT
200,"Bundesamt fur Strahlenschutz(= Germany""s Federal Office for Radiation Protection)",독일연방 방사선방호청,BfS
201,background,백그라운드,BG
202,geometric buckling,기하학적 버클링 / 만유율,Bg
203,Bulgarian Nuclear Society,불가리아원자력학회,BgNS
204,air containment atmosphere dilution,격납용기내 공기조절,ACAD
205,air [operated] circuit breaker,공기[작동] 회로차단기,ACB
206,Arab Cooperation Council,아랍협력의회,ACC
207,auxiliary core cooling system,보조노심 냉각계통 (일본 Monju),ACCS
208,Arms Control and Disarmament Agency,무기통제 및 군축국 (미국),ACDA
209,Asahi Chemical Enchange Process,욱화성화학교환법【우라늄농축법】,ACEP
210,American Concrete Institute,미국콘크리트협회,ACI
211,annual limit of intake,연간섭취한도,ALI
212,annular linear induction pump,환형 나트륨전자기펌프,ALIP
213,Advanced Liquid Metal Reactor,"개량형 액체금속로 (GE, 미국)",ALMR
214,auxiliary liquid metal system,보조액체금속계통,ALMS
215,assembly language preprocessor,조립언어처리기,ALP
216,automatic liquid poison addition system,자동액체독물질 주입계통,ALPAS
217,Adanced LWR Powerful Hybrid Assembly,KNFC가 개발한 C-E형 신핵연료명,ALPHA
218,American Society of Civil Engineers,미국토목기술자학회,ASCE
219,Assessment of Safety Culture in Organization Team,조직안전문화평가팀,ASCOT
220,auxiliary steam condensate return system,보조매연증기복수계통,ASCRS
221,adjustable speed drives,적정속도유도,ASD
222,Atomic & Space Development Authority,원자력우주개발공사 (미국),ASDA
223,atmospheric steam discharge valve,대기증기방출밸브,ASDV
224,American Society of Engineers & Architects,미국기술자 및 건축가학회,ASEA
225,Brookhaven Graphite Research Reactor,브룩해븐 흑연연구로 (미국),BGRR
226,biological hazard potential,잠재적 생물위험도,BHP
227,boilling heavy water reactor,비등중수형 원자로,BHWR
228,Bureau of International Commerce,"통산국 (상무생, 미국)",BIC
229,basic in flow,흐름의 기초(선),BIF
230,biological shield,제오방호벽 (생물학적 차폐벽),BIG-5
231,Beijing Institute of Nuclear Engineering,북경핵공단연구설계원 (중국),BINE
232,above core load pad,노심상부 부하패드【핵연료집합체】,ACLP
233,Advisory Committee on Nuclear Materials Safeguards,핵물질안전보장조치자문위원회 (미국),ACNMS
234,Advisory Committee on Nuclear Safety,원자력안전자문위원회(캐나다),ACNS
235,Advisory Committee on Nuclear Waste,"방사성폐기물자문위원회(NRC,미국)",ACNW
236,Advisory Committee on Personal Dosimetry Services,개인선량측정자문위원회,ACPDS
237,Advanced Core Performance Reactor,개량형노심성능시험로,ACPR
238,Advisory Committee on Reactor Safeguards,원자로안전자문위원회(미국),ACRAS
239,average linear planar heat generation rate,평균선형평면 열발생율,ALPHGR
240,Argonne Low Power Reactor,아르곤저출력원자로 (미국),ALPR
241,automatic load regulator,자동부하제어장치,ALR
242,Ames Laboratory Research Reactor,에임즈연구소 연구용원자로 (미국),ALRR
243,"Association Luxembourgeoise pour 1""Utilisation Peacifique de 1""Energy Atomique",룩셈부르크원자력평화이용협회,ALUPA
244,Advqnced Ligh Water Reactor,"개량형 경수로, 신형 경수로",ALWR
245,air moving and conditioning association,공기유동및 조화장치,AMCA
246,Association of Southeast Asian Nations,극동아시아국가연합,ASEAN
247,Asian Atomic Energy Community,아시아지역 원자력협의체 (일본구상중),ASIATOM
248,applicatin specific integrated circuit,응용특성집적회로,ASIC
249,advanced simulator instructor training,"신형 시뮬레이터교관휸련 고급과정 (오주, 미국)",ASIT
250,Atomic Safety & Licensing Appeal Panel,"원자력안전인허가 항소패널 (NRC, 미국)",ASLAP
251,Atomic Safety & Licensing Board,"원자력안전인허가 축의위원회 (NRC, 미국)",ASLB
252,American Society of Metals,미국금속학회,ASM
253,Budker Institute of Nuclear Physics,브드커핵물리연구소 (러시아),BINP
254,buffer isotropic (multi-layered fuel-particle coating consisting of pyrolytic carbon),이중피복 핵연료,BISO
255,binary digit,비트 (정보전달량의 최소단위),bit
256,boron injection tank,붕소 주입탱크,BIT
257,Brennelementlager Gorleben GmbH,방사성피폭물저장회사 (독일),BLG
258,cell constant transport computer code,셀상수 수송전산코드,BLIND
259,Brookhaven Linac isotope producer,브룩해븐 Linac 동위원소제조시설 (미국),BLIP
260,Advisory Council on Research & Development for Fuel and Power,핵연료 · 동력연구개발자문회의(영국),ACRDEF
261,Advisory Committee on Radiological Protection,방사선방호자문위원회(캐나다),ACRP
262,Annular Core Research Reactor,"환상노심형연구로(SNL,미국)",ACRR
263,Advisory Committee on Reactor Safeguards,"원자로안전자문위원회(NRC,미국)",ACRS
264,advanced code & standard,최신 기술기준,ACS
265,Advisory Committee on the Safety of Nuclear Installations,원자력시설안전자문위원회(영국),ACSNI
266,Advisory Commission on the Safety Standards,안전기준자문위원회(IAEA사무총장의 자문기구),ACSS
267,alkali metal cleaning facility,알칼리성 금속세척장치,AMCF
268,Australian Mineral Development Laboratories,오스트레일리아광물개발연구소,AMDL
269,Ansaldo Meccanica Nucleare SpA,회사명 (이탈리아),AMN
270,aminomethyl-propenol,아미노메틸-프로페놀,AMP
271,Accelerator Mass Spectrometry,가속기 질량분석법,AMS
272,ATWS mitigating system actuation circuitry,ATWS 대책회로 (PWR),AMSAC
273,atomic mass unit,원자질량단위 (=u),amu
274,American Society of Mechanical Engineers,미국기계학회,ASME
275,Advisory Committee on the Safety of Nuclear Installations,원자력시설안전자문위원회 (영국),ASNI
276,American Society for Nondestructive Testing,미국비파괴검사학회,ASNT
277,"Association Suisse pour 1""Energia Atomique",스위스원자력산업의회 (=SVA),ASPEA
278,American Society for Quality Controling,미국품질학회,ASQC
279,automatic send and receive teletype terminal,자동송수신전송터미널,ASR
280,aviation safety reporting system,항공안전보고시스템,ASRS
281,baffle/liner interface seal,배플/라이너의 계면봉합,BLIS
282,bottom loading transfer cask,기부하중이송캐스크,BLTC
283,[kinetics] scram effectiveness reactor computer code,[동력학적] 스크램평가 노전산코드,BLUP-3
284,Boiling Light Water Reactor,비등수형 경수로,BLWR
285,borated light water storage tank,붕수 저장탱크,BLWST
286,material buckling,"재료버클링, 물질에 의한 버클링",Bm
287,bill of material,자제명세표,B/M
288,air cooling unit,공기냉각기,ACU
289,air conditioning and ventilating system,공조환기계통,ACVS
290,analog-to-digital,아날로그-디지털,A/D
291,analog-to-digital converter,아날로그-디지털 컨버터,ADC
292,applied digital data system,디지털자료 응용계통,ADDS
293,"Association Belge pour le Development pacifique de 1"" Energie Atomique (=Belgian Association for the Peaceful Development of Atomic Energy)",벨기에원자력평화이용협회,ADEA
294,International Association of Cooperation of Far East Power Complexes with Organizations of Countries of Asia-Pacific Regions,극동원자력프로젝트종합관계기관,ADEKSO
295,alpha numeric,알파수치적,A/N
296,Australian Nuclear Associaton Inc.,오스트레일리아원자력협회,ANA
297,Ankara Nuclear Arastirma ve Egitim Merkezi (= Ankara Nuclear Research and Training Centre),앙카라원자력연구훈련센터 (터키),ANAEM
298,Aerojet Nuclear Co.,회사명 (미국),ANC
299,Associazione Nationale di Ingeneria Nuclear (Italian Association of Nuclear Engineering),"기관명 (이탈리아, 1999년 4월 AIN에 흡수됨)",ANDIN
300,Associazione Nationale pour la Gestion des Dechets Radioactifs,방사성폐기물관리청,ANDRA
301,American Nuclear Energy Council,미국원자력협의회 (1993년 11월 NEI에 흡수됨),ANEC
302,active safety system,능동안전설비,ASS
303,Assessment of Safety Significant Events Team,원전중계사고분석팀 (IAEA),ASSET
304,American Society of Testing Materials,미국재료시험학회,ASTM
305,acceptance tag,인수꼬리표(합격표),AT
306,ampere transfer,절류변환기,A/T
307,adiabatic toroidal compressor,단열 트로이달 압축기,ATC
308,"Association Technique pour 1""Energie Nucleaire",원자력기술협회 (프랑스),ATEN
309,Bundesministerium fur Forschung und Technologie (= Federal Ministry for Research and Technology),연방 연구기술성 (독일),BMFT
310,Battelle Memorial Institute,바텔기념연구소 (미국),BMI
311,bulk material length,벌크 물질길이,BML
312,Barge Mounted Plant,바지선이용 대형복합플랜토,BMP
313,shell loading engineering reactor computer code,셀부하엔지니어링 노전산코드,BMS
314,"Bundesministerium fur Umwelt, Naturschutz und Reaktorsicherheit (= Federal Ministry for the Environment, Nature Conservation and Reactor Safety)","연방 환경 · 자연보호 · 원자로안전생 (환경생으로 약칭함, 독일)",BMU
315,Belgonucleaire SA,회사명 (벨기에),BN
316,The Association for the Development of International Nuclear Education,국제원자력교육개발협회,ADENI
317,Ad hoc Inspection,IAEA의 수시사찰,Ad hoc
318,automatic data processing,자동자료처리,ADP
319,audit discrepancy report,감사불만족보고서,ADR
320,automatic depressurization system,자동감압계통,ADS
321,ammonium diuranate,"이우라늄화 암모늄, 중우라늄산 암모늄",ADU
322,architect engineering,설계용역,A/E
323,Advanced Nuclear Equipment Research Institute,원자력용차세대기기개발연구소 (일본),ANERI
324,Advanced Nuclear Fuels Corp.,"회사명 (Simens의 자회사, 독일)",ANF
325,Authorized Nuclear Inspector,"공인원자력검사자, 공인검사기관 (주정부, 미국)",ANI
326,American of Nuclear Instrument Manufacturers,핵계측장치제조업체협회 (미국),ANIM
327,Argonne National Laboratory,아르곤국립연구소 (미국),ANL
328,advanced neutron noise analysis,개량형 중성자잡음분석,ANNA
329,Arizona Nuclear Power Project,애리조나 원자력발전컨소시엄 (미국),ANPP
330,atmosphere,기압 (압력의 단위),atm
331,acceptance test rocedures,인수시험절차서,ATP
332,Advanced Thermal Reactor,"신형전환처 (개량열중성자로, 원형로 : Fugen 165 MW, 실증로 : Ooma 606 MW, 일본)",ATR
333,advanced test reactor critical experiment,신형시험로 인계실험,ATRCE
334,Atomiteknillinen Seura (Finnish Nuclear Society),핀란드원자력학회,ATS
335,Argonne Thermal Source Reactor,아르곤열중성자원 원자로,ATSR
336,anticipated transient without scram,"스크램없는 예상적과도 변동원자로정지기능상실시 예상과도현상, 비정지예상과도현상 (PWR)",ATWS
337,dual-purpose power-desalination breeder reactor,"이중목적 동력 · 탈염증식 원형로 (=Shevchenko NPP, 카자흐스탄)",BN-350
338,experimental fast power reactor,고속동력실험로 (옛 소련),BN-50
339,boron neutron capture therapy,붕소중성자포획치료법,BNCT
340,British Nuclear Energy Society,영국원자력학회,BNES
341,Belgian Nuclear Forum (Forum Nucleaire Belge : FNB),벨기에원자력산업의회,BNF
342,British Nuclear Fuels plc,영국핵연료공사,BNFL
343,Barnwell Nuclear Fuels Plant,반웰핵연료재처리공장 (미국),BNFP
344,acoustic emission,음향[방출]탐상,AE
345,Atomic Energy Act,원자력법(미국1954년),AEA
346,Atomic Energy Board,"원자력청(남아연방, 스페인)",AEB
347,Atomic Energy Commission,"원자력위원회(한국, 일본. USAEC는 1946~74년까지 존속)",AEC
348,Atomic Energy Control Board,원자력관리위원회(캐나다 천연자원부내),AECB
349,Atomic Energy Commission of Cuba,쿠바원자력위원회,AEC-C
350,Atomic Energy Canada Ltd.,캐나다원자력공사,AECL
351,Armenian Nuclear Regulatory Authority,아르메니아원자력규제공사,ANRA
352,Agency of Natural Resources and Energy,"자원에너지청 (MITI 산하, 일본)",ANRE
353,American Nuclear Society,미국원자력학회,ANS
354,scattering angle reactor physics computer code,산란각도 노물리전산코드,ANSCAT
355,American National Standards Institute,미국국립표준협회,ANSI
356,ANS/Remote Systems Technology Division,미국원자력학회 원격조작계통기술분과,ANS/RSTD
357,Australian Nuclear Science and Technology Organization,오스트레일리아원자력과학기술기구,ANSTO
358,ammonium uranyl carbonate,탄산암모늄-우라닐,AUC
359,automatic unattended detection inspection transmitter,자동검출검사송출기,AUDIT
360,"Australian Uranium Producers"" Forum",오스트레일리아우라늄생산자의회,AUPF
361,anti-vibration bar,진동방지봉,AVB
362,automatic volume control,자동체적제어,AVC
363,Atelier de Vitrification la Hague,라아그유리고화시설 (프랑스),AVH
364,air ventilating and heating system,환기공조사소게통,AVHS
365,Bechtel National Inc.,회사명 (미국),BNI
366,British Nuclear Industry Forum,영국원자력산업의회 (전 BNF),BNIF
367,Brookhaven National Laboratory,브룩해븐국립연구소 (미국),BNL
368,Belgian Nuclear Society,벨기에원자력학회,BNS
369,Bulgarian Nuclear Safety Authority,불가리아원자력안전공사,BNSA
370,Battelle Northwest Laboratories,바텔노스웨스트연구소 (미국),BNWL
371,British Nuclear Export Executive,영국원자력수출공단,BNX
372,Atomic Energy Corporation of South Africa,남아연방원자력공사,AECSA
373,Atomic Energy Commission Tuwaitha,이라크원자력위원회(=IAEC),AECT
374,Atinebergoexport,원자력수출공사(러시아),AEE
375,Atomic Energy Establishement-Trombay,트롬베이원자력연구소(인도),AEET
376,Atomic Energy Establishement-Winfrith,윈프리스원자력연구소(영국),AEEW
377,American Energy Independence,에너지자립협회(미국),AEI
378,American Export & Isbrandtsen Line,"선박회사명(사바나원자력선의 운항회사, 미국)",AEIL
379,anti-contamination clothings,오염방지복,"anti-C""s"
380,Asociacion Nuclear Vandellos,반델로스원자력협회 (스페인),ANV
381,abnormal occurrence,비정상사건 발생,AO
382,atomic percent,원자퍼센트,a/o
383,augmented off-gas system,추가 기체배출계통,AOG
384,Anticipated Operational Occurrences,원자로운전시 예측되는 과도사건,AOO
385,abnormal operating procedure,비정상 운전절차,AOP
386,atomic vapor laser isotope separation,원자력증기레이저이용단위원소분란법 (우라농축),AVLIS
387,Atelier de Vitrification de Marcoule,마꿀 상용폐기물 유리고화시설 (프랑스),AVM
388,AIB-Vincotte Nucleaire,원자력규제국 (벨기에),AVN
389,automatic volume recognition,자동체적확인,AVR
390,aerated vent system,공기환기게통,AVS
391,all volatile treatment,전휘발성처리,AVT
392,active well coincidence counter,액티브웰형 동시계수기,AWCC
393,burn-out,번아웃(소원),BO
394,beginning of cycle,조기초기,BOC
395,boiling capsule,비등수캡슐,BOCA
396,bottom of core recovery,보크렉 (경수로 가상사고의 일종),BOCREC
397,biochemical oxygen demand,생화학적 산소요구량,BOD
398,barrel oil equivalent,석유환산배럴,BOE
399,beginning of life,노심수명 초기,BOL
400,Atomic Energy Law,"원자력법(1958년 3월 11일 제정, 한국)",AEL
401,Atomic Energy Licensing Board,원자력청(말레이시아),AELB
402,Atomic Energy Organization of Iran,"이란원자력청(=AEOI, IAEO)",AEO
403,[Office of] Analysis and Evaluation of Operation Data,운전데이터분석평가국(USNRC),AEOD
404,Atomic Energy Organization of Iran,이란원자력청(=AEO),AEOI
405,Atomic Energy Regulatory Commission,원자력규제위원회(인도),AERC
406,Atomic Energy Research Establishment-Harwell,하웰원자력연구소(영국),AERE
407,abnormal occurrence reporting system,비정상상태 보고체제,AORS
408,allowed outage time,허용정지시간,AOT
409,air operated valve,공기조절밸브,AOV
410,"access permit, access permittee",출입허가,AP
411,Advanced Passive of 600MW,WH의 개량형 피동로 (미국),AP-600
412,alkaline permanganate-ammonium citrate,화학제염제의 일종,APAC
413,air pollution control,공기오염통제,APC
414,Atomic Workers International Union,국제원자력노농자연맹,AWIU
